name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
Chảo chống dính gốm sâu lòng Tefal 28cm C4001902,1255000,1270000,1,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/chao-chong-dinh-gom-sau-long-tefal-28cm-c4001902-p216169003.html?spid=216169004
CHẢO INOX CHỐNG DÍNH ELMICH 3 ĐÁY MAX B 20CM,234000,234000,0,4.2,5,16,N/A,N/A,Alô Bếp,,N/A,https://tiki.vn/chao-inox-chong-dinh-elmich-3-day-max-b-20cm-p50406748.html?spid=54889877
Chảo chống dính siêu bền Elmich Hera II EL-5941GY,360000,360000,0,0.0,0,0,N/A,N/A,Alô Bếp,,N/A,https://tiki.vn/chao-chong-dinh-sieu-ben-elmich-hera-ii-el-5941gy-p273240108.html?spid=273240110
Chảo từ chống dính Sunhouse SHM18-26cm - Hàng chính hãng,165000,180000,8,4.0,1,1,N/A,N/A,Bep Gia Hung,,N/A,https://tiki.vn/chao-tu-chong-dinh-sunhouse-shm18-26cm-hang-chinh-hang-p270183231.html?spid=270183234
Chảo Đá Chống Dính Siêu Bền Sunhouse SBD26 26cm,195000,195000,0,5.0,1,2,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/chao-da-chong-dinh-sieu-ben-sunhouse-sbd26-26cm-p579846.html?spid=11232578
Chảo chống dính Inox 304 Impact bonding Elmich EL-2459IC,363000,669000,46,0.0,0,0,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/chao-chong-dinh-inox-304-impact-bonding-elmich-el-2459ic-p275511627.html?spid=275511969
Chảo vân đá tự nhiên chống dính Elmich Opal EL-3802,725800,955000,24,0.0,0,0,N/A,N/A,M2P Shop,,N/A,https://tiki.vn/chao-van-da-tu-nhien-chong-dinh-elmich-opal-el-3802-p201056733.html?spid=212567714
CHẢO SUNHOUSE CHỐNG DÍNH ĐÁY TỪ SWP28MA - Hàng chính hãng,367080,500000,27,0.0,0,0,N/A,N/A,ĐIỆN MÁY TẤN TÀI,,N/A,https://tiki.vn/chi-giao-tai-hcm-chao-sunhouse-chong-dinh-day-tu-swp28ma-hang-chinh-hang-p275686542.html?spid=275686543
Chảo nhôm chống dính 18 cm Sunhouse CT18 - Hàng chính hãng,127000,127000,0,0.0,0,0,N/A,N/A,SMARTWATCH,,N/A,https://tiki.vn/chao-nhom-chong-dinh-18-cm-sunhouse-ct18-hang-chinh-hang-p161241400.html?spid=169915209
Chảo chống dính siêu bền Elmich EL-5942GY - Hàng Chính Hãng,215650,369000,42,5.0,4,30,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/chao-chong-dinh-sieu-ben-elmich-el-5942gy-hang-chinh-hang-p273244864.html?spid=273247026
"Chảo Inox nguyên khối, chống dính vân đá 3D Elmich Trimax EL2416OL size",358000,516750,31,5.0,8,43,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/chao-inox-nguyen-khoi-chong-dinh-van-da-3d-elmich-trimax-p272363246.html?spid=272363250
Chảo chiên chống dính Tefal Cook Healthy 26cm - Hàng chính hãng,465000,592000,21,0.0,0,0,N/A,N/A,Edistributor,,N/A,https://tiki.vn/chao-chien-chong-dinh-tefal-cook-healthy-26cm-hang-chinh-hang-p197373819.html?spid=197373820
