,name,price,original_price,discount,rating,review_count,sales_count,seller_name,category
2661,"Bộ nồi inox 3 lớp đáy liền Elmich 2103OL size 18,20,26cm",1557000,2940000,47,4.5,11,35,Tiki Trading,Nồi
2662,Nồi Inox 304 Đáy Từ 5 Lớp Nắp Kính Celestine Elmich 2355278 (5.5L),825000,825000,0,5.0,3,7,Alô Bếp,Nồi
2663,Bộ 3 Nồi Inox 5 Đáy Mama Sunhouse GN2IJC784SH - Trắng Bạc,980000,980000,0,5.0,1,7,GIA DỤNG VIỆT,Nồi
2664,Nồi Inox Cao Cấp 3 Lớp Đáy Liền khối Elmich Tri-Max tặng Chó Marshall,649150,799000,19,3.0,1,9,Săn Hàng Rẻ,Nồi
2666,Bộ nồi chảo Inox nguyên khối an toàn Baby EL 1168OLMax Size 14cm,487000,899000,46,5.0,3,28,Tiki Trading,Nồi
2667,Bộ nồi inox 304 bếp từ 3 đáy Fivestar 4 món FS08CV,1499000,1499000,0,3.5,2,34,SHOP BẾP XINH,Nồi
2668,"Bộ nồi inox liền khối Elmich Trimax ECO EL-8000 size 16, 18, 22cm",1985000,1985000,0,5.0,1,5,Alô Bếp,Nồi
2675,"Bộ nồi inox 430 Fivestar Standard nắp inox FS-B3010 (Kích thước 16cm - 20cm - 24cm) , tặng 1 vá canh",1190000,1190000,0,5.0,51,133,FIVESTAR OFFICIAL STORE,Nồi
2676,"Bộ nồi inox liền khối Elmich Trimax XR EL-8074 size 16, 20, 22cm",1450000,1450000,0,5.0,11,43,Alô Bếp,Nồi
2677,Nồi hấp đa năng Inox liền khối Elmich Trimax Cz EL-3831 size 28cm,1740000,1740000,0,5.0,1,3,Alô Bếp,Nồi
2682,Nồi luộc gà inox 3 đáy SUNHOUSE Sử dụng được trên bếp từ Chính Hãng,495000,495000,0,4.7,7,42,GIA DỤNG VIỆT,Nồi
2683,Bộ Nồi Xửng Hấp Inox 430 Bếp Từ 3 Đáy Nắp Kính Fivestar,1080000,1080000,0,4.8,6,32,FIVESTAR OFFICIAL STORE,Nồi
2684,Nồi Inox Cao Cấp 3 Lớp Đáy Liền Tri-Max 2353732,555000,819000,32,4.6,87,230,Tiki Trading,Nồi
2686,Nồi Inox 3 Lớp Đáy Liền Cao Cấp Elmich Trimax XS Size 18Cm El3746,780000,780000,0,5.0,3,10,Alô Bếp,Nồi
2690,Bộ nồi Inox cao cấp 3 lớp liền đáy Elmich Tri- Max (16-20-24cm),1780000,1780000,0,5.0,18,45,Alô Bếp,Nồi
