name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
Bộ nồi chảo inox 5 đáy Sunhouse SHG995,990000,1980000,50,0.0,0,3,N/A,N/A,Nguyễn Kim Official,,N/A,https://tiki.vn/bo-noi-chao-inox-5-day-sunhouse-shg995-p164361792.html?spid=164361793
"Bộ nồi quánh 3 đáy inox 430 Fivestar Standard bếp từ nắp inox (1 quánh 16cm x 1 nồi 18cm x 1 nồi 20cm ) , tặng 5 muỗng",799000,799000,0,4.0,4,5,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/bo-noi-quanh-3-day-inox-430-fivestar-standard-bep-tu-nap-inox-1-quanh-16cm-x-1-noi-18cm-x-1-noi-20cm-p160672624.html?spid=160672625
Bộ nồi inox 3 đáy SUNHOUSE SH335 Chính Hãng,480000,480000,0,0.0,0,0,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-noi-inox-3-day-sunhouse-sh335-chinh-hang-p24210782.html?spid=52139975
Bộ Nồi Inox 430 Bếp Từ 3 Chiếc Nắp Inox Fivestar Tặng 5 Muỗng Ăn,1260000,1260000,0,0.0,0,0,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/bo-noi-inox-430-bep-tu-3-chiec-nap-inox-fivestar-tang-5-muong-an-p14697718.html?spid=270800633
Nồi Luộc Gà Inox 3 Đáy Sunhouse SH28LG,407440,660000,38,4.5,18,179,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-luo-c-ga-inox-3-day-sunhouse-sh28lg-p155640558.html?spid=25420919
"Bộ nồi inox , bộ nồi chảo Fivestar 4 chiếc nắp kính , tặng 2 vá canh, inox 430, dùng được bếp từ , gas, hồng ngoại",1710000,1710000,0,0.0,0,3,N/A,N/A,SHOP BẾP XINH,,N/A,https://tiki.vn/bo-noi-inox-bo-noi-chao-fivestar-4-chiec-nap-kinh-tang-2-va-canh-inox-430-dung-duoc-bep-tu-gas-hong-ngoai-p99213092.html?spid=99213093
Bộ nồi inox 5 đáy Sunhouse Mama SHG2503MSD,980000,980000,0,0.0,0,0,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-noi-inox-5-day-sunhouse-mama-shg2503msd-p242657431.html?spid=270477181
BỘ NỒI INOX SUNHOUSE VK-SH888 -Hàng chính hãng,744280,920000,19,0.0,0,0,N/A,N/A,ĐIỆN MÁY TẤN TÀI,,N/A,https://tiki.vn/chi-giao-tai-hcm-bo-noi-inox-sunhouse-vk-sh888-hang-chinh-hang-p275677092.html?spid=275677094
"Bộ nồi inox , bộ nồi Fivestar 4 chiếc nắp kính 3 đáy, inox 430 ( tặng 2 vá canh ), dùng được bếp từ , gas, hồng ngoại",1620000,1620000,0,0.0,0,0,N/A,N/A,SHOP BẾP XINH,,N/A,https://tiki.vn/bo-noi-inox-bo-noi-fivestar-4-chiec-nap-kinh-3-day-inox-430-tang-2-va-canh-dung-duoc-bep-tu-gas-hong-ngoai-p99212459.html?spid=99212500
Bộ Nồi Xửng Hấp Fivestar Nắp Kính,900000,900000,0,4.3,12,80,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/bo-noi-xung-hap-fivestar-nap-kinh-tang-10-muong-inox-p14605484.html?spid=72222394
