name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
"Nồi cơm điện tử Cuckoo 1.08L CR-0690F-BKBKCRVNCV_ màu đen, nhiều chế độ nấu, lòng nồi chống dính, thiết kế sang trọng - Bảo hành 2 năm - Hàng chính hãng Cuckoo Vina",1870000,2190000,15,5.0,1,5,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-tu-cuckoo-1-08l-cr-0690f_-mau-den-nhieu-che-do-nau-long-noi-chong-dinh-thiet-ke-sang-trong-bao-hanh-2-nam-hang-chinh-hang-cuckoo-vina-p274097513.html?spid=274097514
Nồi cơm điện tử cao tần Tefal RK762168 1.5L CN Nấu nhanh - BH 2 năm - Hàng Chính Hãng,2220000,3699000,40,5.0,1,2,N/A,N/A,JA STORE,,N/A,https://tiki.vn/noi-com-dien-tu-cao-tan-tefal-rk762168-1-5l-cn-nau-nhanh-bh-2-nam-hang-chinh-hang-p201518029.html?spid=201518030
Nồi cơm điện tử Toshiba RC-18DR3PV(G) - 1.8 Lít - Sử dụng cho 4-6 người ăn - 11 chế độ nấu - Lòng nồi dày 4mm - Công nghệ nhiệt 3D - Hàng chính hãng,2199000,2400000,8,0.0,0,1,N/A,N/A,Trương Thiên Long,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-18dr3pv-g-1-8-lit-su-dung-cho-4-6-nguoi-an-11-che-do-nau-long-noi-day-4mm-cong-nghe-nhiet-3d-hang-chinh-hang-p183488352.html?spid=197193296
Nồi Cơm Điện Tử Áp Suất Cao Tần Mini 0.5L CRP-EHS0309F/WHGOVNCV- Bản Quốc Tế - Hàng chính hãng Cuckoovina,5990000,7490000,20,4.5,2,6,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-tu-ap-suat-cao-tan-mini-0-5l-crp-ehs0309f-whgovncv-ban-quoc-te-hang-chinh-hang-cuckoovina-p273725412.html?spid=273725413
Nồi cơm điện Mini WMF kuchen Hàng chính hãng,2490000,2590000,4,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/noi-com-dien-mini-wmf-kuchen-hang-chinh-hang-p275141494.html?spid=275141495
Nồi Cơm Điện Mini SmartChoice SCG-RC002 Hàng chính hãng Nồi Cơm Điện 1L 350W Lòng Nồi Phủ Ceramic Chống Dính Tốt,1200000,1300000,8,0.0,0,0,N/A,N/A,SMARTCHOICE GIA DỤNG VIỆT,,N/A,https://tiki.vn/noi-com-dien-mini-smartchoice-scg-rc002-hang-chinh-hang-noi-com-dien-1l-350w-long-noi-phu-ceramic-chong-dinh-tot-p275030217.html?spid=275030221
Nồi cơm điện tử cao tần Toshiba RC-10IX1PV - 1 lít [18IX1PV - 1.8 lít] - Hàng chính hãng,2900000,3000000,3,0.0,0,0,N/A,N/A,Điện Máy Phú Sĩ,,N/A,https://tiki.vn/noi-com-dien-tu-cao-tan-toshiba-rc-10ix1pv-1-lit-18ix1pv-1-8-lit-hang-chinh-hang-p201086594.html?spid=270679929
Nồi cơm điện tử áp suất Cuckoo 1.08 lít CRP-R0600F màu đen - Bản Quốc Tế tiếng Anh - Hàng chính hãng,3950000,4890000,19,0.0,0,0,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-tu-ap-suat-cuckoo-1-08-lit-crp-r0600f-mau-den-ban-quoc-te-tieng-anh-hang-chinh-hang-p270839966.html?spid=270839967
"Nồi cơm điện mini Tefal 0.7 lít RK224168 - Hàng Chính Hãng - Dung tích: 0.7 lít, Số người ăn: 2 - 4 người",999000,999000,0,0.0,0,0,N/A,N/A,Edistributor,,N/A,https://tiki.vn/noi-com-dien-mini-tefal-0-7-lit-rk224168-hang-chinh-hang-dung-tich-0-7-lit-so-nguoi-an-2-4-nguoi-p274754282.html?spid=274754283
"Nồi cơm điện tử Toshiba 1.8 lít RC-18DR3PV(G) - Hàng chính hãng - Bảo hành chính hãng 12 tháng, Chất lượng Nhật Bản",1689000,2390000,29,5.0,2,6,N/A,N/A,Gia Dụng Lạc Khải,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-1-8-lit-rc-18dr3pv-g-hang-chinh-hang-bao-hanh-chinh-hang-12-thang-chat-luong-nhat-ban-p272882901.html?spid=272882902
